path,size_bytes,separator,status,rows,error
SCADA/2019_06/Export_2019-06-24 02-09-26.206_[2019-06-23 00-00-00.000]_[2019-06-24 00-00-00.000].csv,372676,;,processed,9549,
SCADA/2019_06/Export_2019-06-25 02-09-27.165_[2019-06-24 00-00-00.000]_[2019-06-25 00-00-00.000].csv,40792663,;,processed,1046895,
SCADA/2019_06/Export_2019-06-26 02-09-28.234_[2019-06-25 00-00-00.000]_[2019-06-26 00-00-00.000].csv,37772964,;,processed,970019,
SCADA/2019_06/Export_2019-06-27 02-09-29.349_[2019-06-26 00-00-00.000]_[2019-06-27 00-00-00.000].csv,40699112,;,processed,1045621,
SCADA/2019_06/Export_2019-06-28 02-09-30.214_[2019-06-27 00-00-00.000]_[2019-06-28 00-00-00.000].csv,42466267,;,processed,1091099,
SCADA/2019_06/Export_2019-06-29 02-09-31.299_[2019-06-28 00-00-00.000]_[2019-06-29 00-00-00.000].csv,54077090,;,processed,1394320,
SCADA/2019_06/Export_2019-06-30 02-09-32.242_[2019-06-29 00-00-00.000]_[2019-06-30 00-00-00.000].csv,25113277,;,processed,648017,
SCADA/2019_07/Export_2019-07-02 02-09-34.582_[2019-07-01 00-00-00.000]_[2019-07-02 00-00-00.000].csv,36883028,;,processed,946488,
SCADA/2019_07/Export_2019-07-03 02-09-35.589_[2019-07-02 00-00-00.000]_[2019-07-03 00-00-00.000].csv,42022817,;,processed,1079027,
SCADA/2019_07/Export_2019-07-04 02-09-36.501_[2019-07-03 00-00-00.000]_[2019-07-04 00-00-00.000].csv,40482597,;,processed,1038545,
SCADA/2019_07/Export_2019-07-05 02-09-37.632_[2019-07-04 00-00-00.000]_[2019-07-05 00-00-00.000].csv,41684958,;,processed,1070196,
SCADA/2019_07/Export_2019-07-06 02-09-38.732_[2019-07-05 00-00-00.000]_[2019-07-06 00-00-00.000].csv,41527915,;,processed,1065677,
SCADA/2019_07/Export_2019-07-07 02-09-39.894_[2019-07-06 00-00-00.000]_[2019-07-07 00-00-00.000].csv,14750259,;,processed,378727,
SCADA/2019_07/Export_2019-07-08 02-09-40.853_[2019-07-07 00-00-00.000]_[2019-07-08 00-00-00.000].csv,25,;,header_only,0,
SCADA/2019_07/Export_2019-07-09 02-09-42.047_[2019-07-08 00-00-00.000]_[2019-07-09 00-00-00.000].csv,40535532,;,processed,1040766,
SCADA/2019_07/Export_2019-07-10 02-09-43.006_[2019-07-09 00-00-00.000]_[2019-07-10 00-00-00.000].csv,39341629,;,processed,1009141,
